epsilon_env,cost,env
2535547966.6666665,2332065852.088478,2535547966.6666665
3399960433.333333,2019917157.6328056,3399960433.333333
4264372900.0,1762891835.4286718,4264372900.0
5128785366.666666,1519109846.073739,5128785366.666666
5993197833.333333,1342300973.5408218,5993197833.333332
6857610300.0,1178039450.0107815,6857610300.0
7722022766.666666,1016055387.9522727,7722022766.666667
8586435233.333333,865166784.8835213,8586435233.333332
9450847700.0,739530637.7,9450847700.0
