epsilon_env,cost,env
1308287500.0,2056663087.4999998,1308287500.0
1966008500.0,1756104505.870085,1966008500.0
2623729500.0,1468305737.7232847,2623729500.0
3281450500.0,1244990272.5693798,3281450500.0
3939171500.0,1059672323.2916645,3939171500.0
4596892500.0,895211779.4910891,4596892500.0
5254613500.0,730751235.6905133,5254613500.0
5912334500.0,602845541.7417623,5912334500.0
6570055500.0,484246616.0611733,6570055500.0
7227776500.0,409101176.5,7227776500.0
